Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
IKONISYS;FR00140048X2;ALIKO;"Euronext Growth Paris";EUR;1.46;1.46;1.42;1.42;"08/04/2024 16:04";CET;1466;2127.06;1.42;08/04/2024
ILBE;IT0005380602;ALIE;"Euronext Growth Paris";EUR;1.12;1.12;1.12;1.12;"06/10/2023 09:00";CET;1;1.12;1.12;08/04/2024
IMALLIANCE;FR0010086371;MLIML;"Euronext Access Paris";EUR;0.31;0.31;0.31;0.31;"08/04/2024 16:30";CET;180;55.80;0.31;08/04/2024
IMERYS;FR0000120859;NK;"Euronext Paris";EUR;30.44;31.10;30.36;30.94;"08/04/2024 17:35";CET;125571;3872973.20;30.94;08/04/2024
IMM.PARIS.PERLE;FR0006859039;MLIPP;"Euronext Access Paris";EUR;45.00;45.00;45.00;45.00;"08/06/2021 11:30";CET;12;540.00;45.00;08/04/2024
IMMERSION;FR0013060100;ALIMR;"Euronext Growth Paris";EUR;1.80;1.80;1.80;1.80;"08/04/2024 16:30";CET;240;432.00;1.80;08/04/2024
IMMOB.DASSAULT;FR0000033243;IMDA;"Euronext Paris";EUR;45.70;46.00;45.40;45.50;"08/04/2024 17:35";CET;906;41312.00;45.50;08/04/2024
IMPLANET;FR0013470168;ALIMP;"Euronext Growth Paris";EUR;0.073;0.0758;0.0712;0.072;"08/04/2024 17:18";CET;59117;4318.0508;0.072;08/04/2024
"IMPRIMERIE CHIRAT";FR0000065773;MLIMP;"Euronext Access Paris";EUR;5.85;5.85;5.85;5.85;"08/04/2024 16:30";CET;107;625.95;5.85;08/04/2024
"IMPULSE FITNESS";ES0105590006;MLIFS;"Euronext Access Paris";EUR;13.20;13.20;13.20;13.20;"04/01/2024 11:30";CET;3;39.60;13.20;08/04/2024
"INDLE FIN.ENTREPR.";FR0000066219;INFE;"Euronext Paris";EUR;61.00;61.00;61.00;61.00;"08/04/2024 16:30";CET;2;122.00;61.00;08/04/2024
INFOCLIP;FR0011158823;MLIFC;"Euronext Access Paris";EUR;2.00;2.00;2.00;2.00;"03/04/2024 11:30";CET;26;52.00;2.00;08/04/2024
INFOTEL;FR0000071797;INF;"Euronext Paris";EUR;49.10;49.40;48.90;49.30;"08/04/2024 17:35";CET;1210;59524.80;49.30;08/04/2024
INMARK;ES0105511002;MLINM;"Euronext Access Paris";EUR;17.90;17.90;17.90;17.90;"08/04/2021 00:00";CET;-;-;16.80;08/04/2024
INMOSUPA;ES0105473005;MLISP;"Euronext Access Paris";EUR;1.62;1.62;1.62;1.62;"06/04/2020 00:00";CET;-;-;1.62;08/04/2024
"INNATE PHARMA";FR0010331421;IPH;"Euronext Paris";EUR;2.21;2.34;2.21;2.34;"08/04/2024 17:39";CET;71278;161926.245;2.34;08/04/2024
"INNELEC MULTIMEDIA";FR0000064297;ALINN;"Euronext Growth Paris";EUR;6.60;6.60;6.40;6.58;"08/04/2024 16:16";CET;3342;21901.53;6.58;08/04/2024
"INNOVATIVE RFK SPA";IT0005391161;MLIRF;"Euronext Access Paris";EUR;1.58;1.58;1.58;1.58;"08/11/2023 11:30";CET;1;1.58;1.58;08/04/2024
INSTALLUX;FR0000060451;ALLUX;"Euronext Growth Paris";EUR;284.00;284.00;284.00;284.00;"08/04/2024 16:30";CET;2;568.00;284.00;08/04/2024
INTEGRAGEN;FR0010908723;ALINT;"Euronext Growth Paris";EUR;0.67;0.675;0.63;0.675;"08/04/2024 16:41";CET;5915;3839.22;0.675;08/04/2024
"INTEGRITAS VIAGER";FR0014003FN0;MLVIE;"Euronext Access Paris";EUR;115.00;115.00;115.00;115.00;"14/08/2023 11:30";CET;2;230.00;115.00;08/04/2024
INTERPARFUMS;FR0004024222;ITP;"Euronext Paris";EUR;51.20;51.20;50.60;50.90;"08/04/2024 17:35";CET;19314;982686.70;50.90;08/04/2024
INTEXA;FR0000064958;ITXT;"Euronext Paris";EUR;2.90;2.90;2.90;2.90;"25/03/2024 11:30";CET;355;1029.50;2.90;08/04/2024
INTRASENSE;FR0011179886;ALINS;"Euronext Growth Paris";EUR;0.23;0.23;0.22;0.22;"08/04/2024 14:57";CET;33305;7633.351;0.22;08/04/2024
INVENTIVA;FR0013233012;IVA;"Euronext Paris";EUR;3.40;3.50;3.295;3.47;"08/04/2024 17:36";CET;89998;306329.775;3.47;08/04/2024
"INVIBES ADVERTSING";BE0974299316;ALINV;"Euronext Growth Paris";EUR;6.40;6.58;6.24;6.26;"08/04/2024 17:03";CET;1234;7912.18;6.26;08/04/2024
"IPOSA PROPERTIES";ES0105417002;MLIPO;"Euronext Access Paris";EUR;18.74;18.74;18.74;18.74;"05/08/2019 00:00";CET;-;-;18.00;08/04/2024
IPSEN;FR0010259150;IPN;"Euronext Paris";EUR;107.10;108.70;106.60;108.30;"08/04/2024 17:35";CET;48085;5199376.80;108.30;08/04/2024
IPSOS;FR0000073298;IPS;"Euronext Paris";EUR;65.95;66.40;65.90;66.25;"08/04/2024 17:35";CET;34452;2279735.35;66.25;08/04/2024
ISPD;ES0109429037;ALISP;"Euronext Growth Paris";EUR;3.22;3.22;3.22;3.22;"08/04/2024 09:00";CET;1;3.22;3.22;08/04/2024
"IT LINK";FR0000072597;ALITL;"Euronext Growth Paris";EUR;31.60;31.70;31.10;31.40;"08/04/2024 17:35";CET;1312;41312.30;31.40;08/04/2024
"ITALY INNOVAZIONI";IT0005336521;MLITN;"Euronext Access Paris";EUR;8.80;8.80;8.80;8.80;"25/10/2023 16:30";CET;7;61.60;8.80;08/04/2024
ITESOFT;FR0004026151;ITE;"Euronext Paris";EUR;3.98;3.98;3.98;3.98;"02/04/2024 11:15";CET;11;43.78;3.98;08/04/2024
"JACQUES BOGART";FR0012872141;JBOG;"Euronext Paris";EUR;7.06;7.06;6.68;6.70;"08/04/2024 17:35";CET;1723;11576.42;6.70;08/04/2024
"JACQUET METALS";FR0000033904;JCQ;"Euronext Paris";EUR;18.22;18.64;18.22;18.40;"08/04/2024 17:35";CET;7711;142072.28;18.40;08/04/2024
JCDECAUX;FR0000077919;DEC;"Euronext Paris";EUR;18.25;18.39;18.02;18.02;"08/04/2024 17:35";CET;114698;2077413.93;18.02;08/04/2024
"JSA TECHNOLOGY";FR0010680033;MLJSA;"Euronext Access Paris";EUR;0.64;0.64;0.64;0.64;"29/02/2024 11:30";CET;6;3.84;0.64;08/04/2024
JUNGLE21;ES0105636007;MLJ21;"Euronext Access Paris";EUR;3.40;3.40;3.40;3.40;"21/02/2024 11:30";CET;24000;81600.00;3.40;08/04/2024
KALRAY;FR0010722819;ALKAL;"Euronext Growth Paris";EUR;18.60;18.66;17.92;18.12;"08/04/2024 17:35";CET;29529;539383.90;18.12;08/04/2024
"KAUFMAN ET BROAD";FR0004007813;KOF;"Euronext Paris";EUR;28.05;28.15;27.70;27.70;"08/04/2024 17:36";CET;9527;264712.35;27.70;08/04/2024
KERING;FR0000121485;KER;"Euronext Paris";EUR;361.60;366.40;359.85;365.20;"08/04/2024 17:35";CET;127950;46584972.70;365.20;08/04/2024
KERLINK;FR0013156007;ALKLK;"Euronext Growth Paris";EUR;0.978;1.14;0.978;1.095;"08/04/2024 17:29";CET;73763;78308.676;1.095;08/04/2024
KEYRUS;FR0004029411;ALKEY;"Euronext Growth Paris";EUR;6.98;6.98;6.96;6.96;"08/04/2024 13:19";CET;34;236.66;6.96;08/04/2024
"KKO INTERNATIONAL";FR0013374667;ALKKO;"Euronext Growth Paris";EUR;0.089;0.0894;0.0864;0.0864;"08/04/2024 17:35";CET;81895;7170.4656;0.0864;08/04/2024
KLARSEN;FR0011038348;ALKLA;"Euronext Growth Paris";EUR;2.685;2.765;2.685;2.745;"08/04/2024 17:35";CET;5423;14805.67;2.745;08/04/2024
KLEPIERRE;FR0000121964;LI;"Euronext Paris";EUR;23.50;23.70;23.42;23.60;"08/04/2024 17:35";CET;459253;10837680.70;23.60;08/04/2024
KOMPUESTOS;ES0105425005;ALKOM;"Euronext Growth Paris";EUR;0.805;0.805;0.805;0.805;"08/04/2024 09:00";CET;1;0.805;0.805;08/04/2024
"KUMULUS VAPE";FR0013419876;ALVAP;"Euronext Growth Paris";EUR;6.20;6.50;6.20;6.40;"08/04/2024 17:38";CET;1167;7376.84;6.40;08/04/2024
L'OREAL;FR0000120321;OR;"Euronext Paris";EUR;409.55;414.00;407.85;411.20;"08/04/2024 17:37";CET;330407;135760759.30;411.20;08/04/2024
"LA PERLA FASHION";NL0012191662;ALPER;"Euronext Growth Paris";EUR;7.20;7.20;7.20;7.20;"03/07/2023 09:00";CET;1;7.20;7.20;08/04/2024
"LABO EUROMEDIS";FR0000075343;ALEMG;"Euronext Growth Paris";EUR;4.23;4.28;4.22;4.28;"08/04/2024 16:55";CET;1029;4371.40;4.28;08/04/2024
"LACROIX GROUP";FR0000066607;LACR;"Euronext Paris";EUR;24.00;24.20;23.70;23.80;"08/04/2024 17:29";CET;1314;31489.40;23.80;08/04/2024
"LAGARDERE SA";FR0000130213;MMB;"Euronext Paris";EUR;21.10;21.20;21.05;21.10;"08/04/2024 17:35";CET;8750;184838.55;21.10;08/04/2024
LANSON-BCC;FR0004027068;ALLAN;"Euronext Growth Paris";EUR;45.50;45.60;45.20;45.40;"08/04/2024 17:01";CET;481;21788.40;45.40;08/04/2024
LARGO;FR0013308582;ALLGO;"Euronext Growth Paris";EUR;2.19;2.62;2.19;2.57;"08/04/2024 17:29";CET;20816;52107.35;2.57;08/04/2024
LATECOERE;FR001400JY13;LAT;"Euronext Paris";EUR;0.0136;0.0147;0.0134;0.0138;"08/04/2024 17:35";CET;1972035;27161.0721;0.0138;08/04/2024
LAURENT-PERRIER;FR0006864484;LPE;"Euronext Paris";EUR;120.50;122.00;120.00;120.00;"08/04/2024 17:35";CET;382;46021.50;120.00;08/04/2024
LDC;FR0013204336;LOUP;"Euronext Paris";EUR;138.00;138.00;137.00;137.00;"08/04/2024 17:35";CET;1436;197583.50;137.00;08/04/2024
LEBON;FR0000121295;ALBON;"Euronext Growth Paris";EUR;95.40;95.40;93.60;93.80;"08/04/2024 16:57";CET;203;19180.80;93.80;08/04/2024
LECTRA;FR0000065484;LSS;"Euronext Paris";EUR;33.70;34.40;33.70;34.25;"08/04/2024 17:35";CET;11132;380865.20;34.25;08/04/2024
"LECTRA NV24";FR001400MMI2;LSSNV;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;31.25;08/04/2024
LEGRAND;FR0010307819;LR;"Euronext Paris";EUR;96.00;96.22;95.54;95.54;"08/04/2024 17:35";CET;360938;34511883.90;95.54;08/04/2024
LEPERMISLIBRE;FR001400F2Z1;ALLPL;"Euronext Growth Paris";EUR;1.145;1.145;1.145;1.145;"08/04/2024 09:00";CET;1;1.145;1.145;08/04/2024
"LES HOTELS BAVEREZ";FR0007080254;ALLHB;"Euronext Growth Paris";EUR;66.00;66.00;66.00;66.00;"08/04/2024 11:30";CET;2;132.00;66.00;08/04/2024
"LEXIBOOK LINGUIST.";FR0000033599;ALLEX;"Euronext Growth Paris";EUR;3.56;3.56;3.41;3.56;"08/04/2024 16:54";CET;5314;18418.57;3.56;08/04/2024
LHYFE;FR0014009YQ1;LHYFE;"Euronext Paris";EUR;4.44;4.83;4.44;4.69;"08/04/2024 17:35";CET;74912;349582.235;4.69;08/04/2024
"LINEDATA SERVICES";FR0004156297;LIN;"Euronext Paris";EUR;69.20;70.60;69.20;70.40;"08/04/2024 17:35";CET;86;6052.80;70.40;08/04/2024
LISI;FR0000050353;FII;"Euronext Paris";EUR;24.15;24.35;23.90;24.30;"08/04/2024 17:35";CET;8394;203159.75;24.30;08/04/2024
"LLAMA GROUP";BE0974334667;ALLAM;"Euronext Growth Paris, Brussels";EUR;0.495;0.528;0.493;0.513;"08/04/2024 17:22";CET;16354;8214.3845;0.513;08/04/2024
LLEIDA;ES0105089009;ALLLN;"Euronext Growth Paris";EUR;0.872;0.872;0.85;0.85;"08/04/2024 10:50";CET;1073;920.132;0.85;08/04/2024
"LNA SANTE";FR0004170017;LNA;"Euronext Paris";EUR;19.52;20.00;19.52;19.86;"08/04/2024 17:35";CET;2592;51258.44;19.86;08/04/2024
"LOCASYSTEM INTL";FR0004155208;MLLOI;"Euronext Access Paris";EUR;14.90;14.90;14.90;14.90;"03/04/2024 16:30";CET;40;596.00;14.90;08/04/2024
"LOGIC INSTRUMENT";FR0000044943;ALLOG;"Euronext Growth Paris";EUR;1.24;1.265;1.22;1.225;"08/04/2024 17:07";CET;14548;18079.15;1.225;08/04/2024
"LOMBARD ET MEDOT";FR0006205019;MLCAC;"Euronext Access Paris";EUR;13.50;13.50;13.50;13.50;"02/04/2024 12:38";CET;5;67.50;13.50;08/04/2024
LUCIBEL;FR0011884378;ALUCI;"Euronext Growth Paris";EUR;0.465;0.479;0.465;0.476;"08/04/2024 16:50";CET;7996;3779.8025;0.476;08/04/2024
LUMIBIRD;FR0000038242;LBIRD;"Euronext Paris";EUR;14.25;14.50;14.15;14.30;"08/04/2024 17:35";CET;12973;186284.10;14.30;08/04/2024
LVMH;FR0000121014;MC;"Euronext Paris";EUR;795.70;808.20;793.90;807.30;"08/04/2024 17:39";CET;245195;197246877.30;807.30;08/04/2024
M.R.M;FR00140085W6;MRM;"Euronext Paris";EUR;17.20;17.30;17.20;17.30;"08/04/2024 16:30";CET;35;604.70;17.30;08/04/2024
M2I;FR0013270626;ALMII;"Euronext Growth Paris";EUR;3.34;3.34;3.34;3.34;"08/04/2024 09:00";CET;1;3.34;3.34;08/04/2024
"MAAT PHARMA";FR0012634822;MAAT;"Euronext Paris";EUR;9.56;9.60;9.24;9.56;"08/04/2024 17:35";CET;3383;32207.76;9.56;08/04/2024
MACOMPTA.FR;FR001400NQB6;MLMCA;"Euronext Access Paris";EUR;4.85;4.85;4.85;4.85;"02/04/2024 16:30";CET;23;111.55;4.85;08/04/2024
MADE;FR0010328302;MLMAD;"Euronext Access Paris";EUR;7.45;7.45;7.45;7.45;"08/04/2024 16:43";CET;195;1452.75;7.45;08/04/2024
MAGILLEM;FR0010827741;MLMGL;"Euronext Access Paris";EUR;4.34;4.34;4.34;4.34;"22/03/2024 11:30";CET;10;43.40;4.34;08/04/2024
"MAIS.ANTOINE BAUD";FR0000061657;MLMAB;"Euronext Access Paris";EUR;202.00;202.00;202.00;202.00;"02/04/2024 16:30";CET;1;202.00;202.00;08/04/2024
"MAISON CLIO BLUE";FR0011092089;MLCLI;"Euronext Access Paris";EUR;2.02;2.02;2.02;2.02;"22/03/2024 11:30";CET;5;10.10;2.02;08/04/2024
"MAISONS DU MONDE";FR0013153541;MDM;"Euronext Paris";EUR;4.52;4.76;4.47;4.755;"08/04/2024 17:35";CET;70611;325814.385;4.755;08/04/2024
"MAKING SCIENCE";ES0105463006;ALMKS;"Euronext Growth Paris";EUR;10.40;10.40;10.40;10.40;"08/04/2024 11:30";CET;1;10.40;10.40;08/04/2024
"MALTERIES FCO-BEL.";FR0000030074;MALT;"Euronext Paris";EUR;630.00;630.00;630.00;630.00;"08/04/2024 11:38";CET;12;7560.00;630.00;08/04/2024
"MANITOU BF";FR0000038606;MTU;"Euronext Paris";EUR;25.35;25.75;25.30;25.45;"08/04/2024 17:35";CET;12298;314073.55;25.45;08/04/2024
"MAQ ADMON. URBANAS";ES0105447009;MLMAQ;"Euronext Access Paris";EUR;8.30;8.30;8.30;8.30;"27/01/2020 11:30";CET;1;8.30;8.30;08/04/2024
"MARE NOSTRUM";FR0013400835;ALMAR;"Euronext Growth Paris";EUR;0.44;0.45;0.44;0.45;"08/04/2024 12:09";CET;140;61.80;0.45;08/04/2024
"MAROC TELECOM";MA0000011488;IAM;"Euronext Paris";EUR;8.80;8.80;8.80;8.80;"08/04/2024 17:35";CET;271;2384.80;8.80;08/04/2024
MASTRAD;FR0004155687;ALMAS;"Euronext Growth Paris";EUR;0.0072;0.008;0.0072;0.008;"08/04/2024 15:19";CET;82560;625.6596;0.008;08/04/2024
"MASTRAD BS29";FR0013472446;MASBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;0.0785;08/04/2024
"MAUNA KEA TECH";FR0010609263;ALMKT;"Euronext Growth Paris";EUR;0.403;0.404;0.394;0.394;"08/04/2024 17:35";CET;23411;9351.048;0.394;08/04/2024
"MAUREL ET PROM";FR0000051070;MAU;"Euronext Paris";EUR;6.12;6.205;6.055;6.09;"08/04/2024 17:35";CET;253420;1553943.81;6.09;08/04/2024
MBWS;FR0000060873;MBWS;"Euronext Paris";EUR;3.04;3.09;3.03;3.09;"08/04/2024 17:29";CET;12493;38355.43;3.09;08/04/2024
"MCPHY ENERGY";FR0011742329;MCPHY;"Euronext Paris";EUR;2.00;2.08;1.962;2.045;"08/04/2024 17:35";CET;126045;254314.369;2.045;08/04/2024
"MEDESIS PHARMA";FR0010844464;ALMDP;"Euronext Growth Paris";EUR;1.50;1.50;1.33;1.36;"08/04/2024 17:03";CET;7187;10075.40;1.36;08/04/2024
"MEDIA 6";FR0000064404;EDI;"Euronext Paris";EUR;10.60;10.60;10.60;10.60;"08/04/2024 17:11";CET;6;63.60;10.60;08/04/2024
"MEDIA LAB";IT0005324105;MLLAB;"Euronext Access Paris";EUR;1.04;1.04;1.04;1.04;"18/01/2024 11:30";CET;8;8.32;1.04;08/04/2024
MEDIANTECHNOLOGIES;FR0011049824;ALMDT;"Euronext Growth Paris";EUR;2.405;2.505;2.325;2.325;"08/04/2024 17:35";CET;44432;107445.145;2.325;08/04/2024
MEDINCELL;FR0004065605;MEDCL;"Euronext Paris";EUR;9.64;9.65;9.05;9.35;"08/04/2024 17:35";CET;69917;652739.03;9.35;08/04/2024
"MEDIOCREDITO EUROP";IT0004844848;MLMCE;"Euronext Access Paris";EUR;4.30;4.30;4.30;4.30;"28/11/2012 10:24";CET;100;430.00;4.30;08/04/2024
"MEMSCAP REGPT";FR0010298620;MEMS;"Euronext Paris";EUR;9.59;9.65;9.40;9.43;"08/04/2024 17:35";CET;29494;280471.30;9.43;08/04/2024
MERCIALYS;FR0010241638;MERY;"Euronext Paris";EUR;10.43;10.62;10.43;10.60;"08/04/2024 17:35";CET;141482;1495742.22;10.60;08/04/2024
"MERIDIA RE IV";ES0105559001;MLMIV;"Euronext Access Paris";EUR;18.55;18.55;18.55;18.55;"02/07/2021 00:00";CET;-;-;17.70;08/04/2024
MERSEN;FR0000039620;MRN;"Euronext Paris";EUR;35.75;36.40;35.70;36.15;"08/04/2024 17:35";CET;33040;1192989.80;36.15;08/04/2024
"METABOLIC EXPLORER";FR0004177046;METEX;"Euronext Paris";EUR;0.1498;0.157;0.143;0.157;"08/04/2024 17:35";CET;211968;32253.504;0.157;08/04/2024
METALLIANCE;FR0010492181;MLETA;"Euronext Access Paris";EUR;8.50;8.50;8.50;8.50;"15/01/2024 11:38";CET;64;544.00;8.50;08/04/2024
METAVISIO;FR00140066X4;ALTHO;"Euronext Growth Paris";EUR;0.98;1.036;0.97;1.00;"08/04/2024 17:35";CET;234888;236751.261;1.00;08/04/2024
METHANOR;FR0011217710;ALMET;"Euronext Growth Paris";EUR;2.96;2.96;2.85;2.88;"08/04/2024 13:58";CET;531;1537.36;2.88;08/04/2024
"METRICS IN BALANCE";BE0974328602;MLMIB;"Euronext Access Paris";EUR;0.074;0.074;0.074;0.074;"05/04/2024 11:30";CET;10300;762.20;0.074;08/04/2024
"METROPOLE TV";FR0000053225;MMT;"Euronext Paris";EUR;13.60;13.90;13.58;13.88;"08/04/2024 17:35";CET;113099;1562121.04;13.88;08/04/2024
MEXEDIA;IT0005450819;ALMEX;"Euronext Growth Paris";EUR;14.20;14.20;14.20;14.20;"04/04/2024 11:38";CET;10;142.00;14.20;08/04/2024
"MG INTERNATIONAL";FR0010204453;ALMGI;"Euronext Growth Paris";EUR;5.00;5.25;5.00;5.25;"05/04/2024 16:30";CET;42;210.50;5.25;08/04/2024
"MGI DIGITAL GRAPHI";FR0010353888;ALMDG;"Euronext Growth Paris";EUR;19.16;19.38;18.78;19.20;"08/04/2024 17:36";CET;13853;264574.86;19.20;08/04/2024
MICHELIN;FR001400AJ45;ML;"Euronext Paris";EUR;34.74;35.67;34.65;35.38;"08/04/2024 17:35";CET;1247188;44098403.23;35.38;08/04/2024
MICROPOLE;FR0000077570;ALMIC;"Euronext Growth Paris";EUR;1.66;1.72;1.66;1.69;"08/04/2024 17:35";CET;107610;181551.25;1.69;08/04/2024
"MIGUET ET ASSOCIES";FR0010500363;MLNMA;"Euronext Access Paris";EUR;0.14;0.14;0.14;0.14;"08/04/2024 16:31";CET;1703;238.42;0.14;08/04/2024
MILIBOO;FR0013053535;ALMLB;"Euronext Growth Paris";EUR;2.13;2.13;2.10;2.10;"08/04/2024 17:39";CET;456;965.28;2.10;08/04/2024
MINT;FR0004172450;ALMIN;"Euronext Growth Paris";EUR;3.10;3.15;3.02;3.15;"08/04/2024 17:35";CET;5712;17881.88;3.15;08/04/2024
MND;FR00140050Q2;ALMND;"Euronext Growth Paris";EUR;0.774;0.79;0.764;0.79;"08/04/2024 17:35";CET;30962;23903.516;0.79;08/04/2024
"MON COURTIER ENERG";FR001400H3A0;ALMCE;"Euronext Growth Paris";EUR;8.04;8.04;8.04;8.04;"08/04/2024 09:00";CET;1;8.04;8.04;08/04/2024
"MONCEY (FIN.) NOM.";FR0000076986;FMONC;"Euronext Paris";EUR;7650.00;7650.00;7600.00;7600.00;"05/04/2024 13:58";CET;4;30500.00;7600.00;08/04/2024
MONTEA;BE0003853703;MONT;"Euronext Brussels, Paris";EUR;80.40;81.40;80.20;81.30;"08/04/2024 17:35";CET;15313;1240966.40;81.30;08/04/2024
"MONTEPINO LOGISTIC";ES0105549002;MLMTP;"Euronext Access Paris";EUR;9.90;9.90;9.90;9.90;"08/04/2024 11:30";CET;2000;19800.00;9.90;08/04/2024
MOULINVEST;FR0011033083;ALMOU;"Euronext Growth Paris";EUR;18.60;18.60;18.45;18.50;"08/04/2024 17:17";CET;1003;18593.70;18.50;08/04/2024
"MR BRICOLAGE";FR0004034320;ALMRB;"Euronext Growth Paris";EUR;8.30;8.30;8.18;8.18;"08/04/2024 16:53";CET;678;5561.70;8.18;08/04/2024
MUNIC;FR0013462231;ALMUN;"Euronext Growth Paris";EUR;0.68;0.68;0.676;0.676;"08/04/2024 16:52";CET;1756;1189.846;0.676;08/04/2024
"MUTTER VENTURES";ES0105697009;MLMUT;"Euronext Access Paris";EUR;3.55;3.55;3.55;3.55;"02/01/2024 13:59";CET;500;1775.00;3.56;08/04/2024
MYHOTELMATCH;FR001400IE67;MHM;"Euronext Paris";EUR;0.584;0.59;0.584;0.59;"08/04/2024 16:03";CET;4136;2436.51;0.59;08/04/2024
NACON;FR0013482791;NACON;"Euronext Paris";EUR;1.16;1.206;1.146;1.146;"08/04/2024 17:35";CET;121289;141242.958;1.146;08/04/2024
NAMR;FR0014003J32;ALNMR;"Euronext Growth Paris";EUR;1.21;1.21;1.15;1.20;"08/04/2024 17:35";CET;326;384.545;1.20;08/04/2024
NANOBIOTIX;FR0011341205;NANO;"Euronext Paris";EUR;5.69;5.80;5.68;5.715;"08/04/2024 17:35";CET;34547;198099.085;5.715;08/04/2024
NEOEN;FR0011675362;NEOEN;"Euronext Paris";EUR;28.40;29.32;28.26;28.84;"08/04/2024 17:35";CET;285909;8278575.50;28.84;08/04/2024
NEOLIFE;FR0011636083;ALNLF;"Euronext Growth Paris";EUR;0.0831;0.0887;0.0831;0.0859;"08/04/2024 17:25";CET;421289;36430.8225;0.0859;08/04/2024
NEOVACS;FR001400MV37;ALNEV;"Euronext Growth Paris";EUR;0.60;0.60;0.514;0.5244;"08/04/2024 15:27";CET;9159;4891.3085;0.5244;08/04/2024
NETGEM;FR0004154060;ALNTG;"Euronext Growth Paris";EUR;0.96;0.98;0.96;0.96;"08/04/2024 17:36";CET;14792;14345.108;0.96;08/04/2024
"NETMEDIA GROUP";FR0000072993;ALNMG;"Euronext Growth Paris";EUR;0.0344;0.0364;0.0344;0.0362;"08/04/2024 17:27";CET;209801;7308.9932;0.0362;08/04/2024
NEURONES;FR0004050250;NRO;"Euronext Paris";EUR;46.10;46.40;46.10;46.15;"08/04/2024 17:35";CET;5760;266159.15;46.15;08/04/2024
NEXANS;FR0000044448;NEX;"Euronext Paris";EUR;96.20;99.70;95.95;99.45;"08/04/2024 17:35";CET;94619;9327720.35;99.45;08/04/2024
NEXITY;FR0010112524;NXI;"Euronext Paris";EUR;9.715;9.93;9.56;9.865;"08/04/2024 17:35";CET;101588;996619.915;9.865;08/04/2024
NEXTEDIA;FR0004171346;ALNXT;"Euronext Growth Paris";EUR;0.65;0.65;0.634;0.644;"08/04/2024 17:35";CET;77403;49844.296;0.644;08/04/2024
"NFL BIOSCIENCES";FR0014003XT0;ALNFL;"Euronext Growth Paris";EUR;2.65;2.65;2.50;2.59;"08/04/2024 17:35";CET;34054;86971.18;2.59;08/04/2024
NHOA;FR0012650166;NHOA;"Euronext Paris";EUR;0.53;0.55;0.53;0.55;"08/04/2024 17:35";CET;26153;14268.845;0.55;08/04/2024
NICOX;FR0013018124;ALCOX;"Euronext Growth Paris";EUR;0.38;0.3945;0.38;0.3895;"08/04/2024 16:51";CET;19301;7493.1265;0.3895;08/04/2024
NOKIA;FI0009000681;NOKIA;"Euronext Paris";EUR;3.2105;3.241;3.183;3.2215;"08/04/2024 17:35";CET;109036;350572.88;3.2215;08/04/2024
"NORTEM BIOGROUP";ES0105719001;MLBIO;"Euronext Access Paris";EUR;5.40;5.40;5.40;5.40;"22/02/2024 11:30";CET;3490;18846.00;5.40;08/04/2024
NOVACYT;FR0010397232;ALNOV;"Euronext Growth Paris";EUR;0.51;0.624;0.509;0.59;"08/04/2024 17:35";CET;665742;384390.059;0.59;08/04/2024
"NOVATECH IND.";FR0000185464;MLNOV;"Euronext Access Paris";EUR;7.50;7.50;7.50;7.50;"08/04/2024 16:30";CET;70;525.00;7.50;08/04/2024
NR21;FR0014001PV6;NR21;"Euronext Paris";EUR;41.20;41.20;41.20;41.20;"08/04/2024 11:54";CET;5;206.00;41.20;08/04/2024
"NRJ GROUP";FR0000121691;NRG;"Euronext Paris";EUR;7.36;7.44;7.36;7.38;"08/04/2024 17:35";CET;7083;52494.06;7.38;08/04/2024
"NSC GROUPE";FR0000064529;ALNSC;"Euronext Growth Paris";EUR;41.20;44.80;41.20;44.80;"19/03/2024 16:30";CET;105;4344.00;44.80;08/04/2024
NSE;FR0004065639;ALNSE;"Euronext Growth Paris";EUR;24.10;24.60;23.90;23.90;"08/04/2024 14:03";CET;258;6254.70;23.90;08/04/2024
OBIZ;FR0014003711;ALBIZ;"Euronext Growth Paris";EUR;6.24;6.26;6.14;6.24;"08/04/2024 17:06";CET;2277;14152.86;6.24;08/04/2024
"OCTOPUS BIOSAFETY";FR0013310281;MLOCT;"Euronext Access Paris";EUR;0.50;0.50;0.50;0.50;"08/04/2024 11:30";CET;3638;1819.00;0.50;08/04/2024
OENEO;FR0000052680;SBT;"Euronext Paris";EUR;10.80;10.90;10.70;10.75;"08/04/2024 17:35";CET;7606;82552.30;10.75;08/04/2024
"OK PROPERTIES";ES0105698007;MLOKP;"Euronext Access Paris";EUR;12.00;12.00;12.00;12.00;"29/03/2023 00:00";CET;-;-;12.00;08/04/2024
"OMER-DECUGIS & CIE";FR0014003T71;ALODC;"Euronext Growth Paris";EUR;4.28;4.28;4.28;4.28;"08/04/2024 17:14";CET;1880;8046.40;4.28;08/04/2024
"ONCODESIGN PM";FR001400CM63;ALOPM;"Euronext Growth Paris";EUR;1.52;1.60;1.52;1.58;"08/04/2024 17:29";CET;6304;9787.525;1.58;08/04/2024
